NAME,IRIS ID,ACCESSION,SUBPOPULATION,COUNTRY
ARC 13829,IRIS 313-8712,IRGC 117426,aro,India
ARC 10497,IRIS 313-8813,IRGC 117425,aro,India
JC 157,IRIS 313-9629,IRGC 117498,aro,India
ARC 11959::IRGC 21780-1,IRIS 313-8554,IRGC 121188,aus,India
ARC 10100::IRGC 20709-1,IRIS 313-9137,IRGC 121185,aus,India
DANGAR::IRGC 76296-1,IRIS 313-9610,IRGC 120927,aus,India
NCS 964 C::IRGC 62604-1,IRIS 313-9400,IRGC 125854,indx,India
ARC 11430 B::IRGC 14567-1,IRIS 313-8999,IRGC 125640,subtrop,India
JC 1,IRIS 313-8326,IRGC 117494,aro,India
PANKHARI 203,IRIS 313-9083,IRGC 117551,aro,India
SIMUL KHURI::IRGC 35154-1,IRIS 313-8771,IRGC 121120,aus,India
N 22::IRGC 46459-1,IRIS 313-10150,IRGC 126249,aus,India
ARC 13530::IRGC 41146-1,IRIS 313-8401,,indx,India
PARA NELLU::IRGC 50009-1,IRIS 313-9351,IRGC 125868,ind2,India
ARC 11626::IRGC 21528-1,IRIS 313-9392,IRGC 125642,admix,India
ARC 7091::IRGC 20491-1,IRIS 313-8498,IRGC 126176,aro,India
BEGUM::IRGC 33990-1,IRIS 313-9641,IRGC 125602,aus,India
CO 39,IRIS 313-8265,IRGC 117454,indx,India
LARHA MUGAD::IRGC 52339-1,IRIS 313-8568,IRGC 125619,ind2,India
ARC 5840::IRGC 12144-1,IRIS 313-9424,IRGC 125656,indx,India
NCS 237::IRGC 62202-1,IRIS 313-9492,IRGC 125853,ind2,India
XITTO::IRGC 6671-1,IRIS 313-8622,IRGC 126294,ind2,India
JC 149,IRIS 313-8385,IRGC 117497,aro,India
ARC 12536::IRGC 41068-1,IRIS 313-9053,IRGC 125644,admix,India
ARC 7229::IRGC 12331-1,IRIS 313-9172,IRGC 126177,aro,India
NCS 840::IRGC 62530-1,IRIS 313-9516,IRGC 126251,ind2,India
CSR-89 IR-15::IRGC 117326-1,IRIS 313-10348,IRGC 125959,indx,India
CSR-90 IR-2::IRGC 117327-1,IRIS 313-10349,IRGC 120921,indx,India
K 479-2-3::IRGC 117346-1,IRIS 313-10404,IRGC 121003,indx,India
UPR 1201-1-20-1::IRGC 117357-1,IRIS 313-10417,IRGC 126012,ind1B,India
SURMATIYA::IRGC 74779-1,IRIS 313-8303,IRGC 126008,ind2,India
ARC 13252::IRGC 22604-1,IRIS 313-8382,,admix,India
UPRH 233::IRGC 61667-1,IRIS 313-8435,IRGC 125627,ind1A,India
498-2A BR 8::IRGC 5891-1,IRIS 313-8450,IRGC 126041,ind2,India
ARC 18597::IRGC 43299-1,IRIS 313-8453,IRGC 126043,indx,India
ARC 18175::IRGC 42316-1,IRIS 313-8458,IRGC 131928,indx,India
KEERIPALA CHILL PADDY::IRGC 49790-1,IRIS 313-8559,IRGC 125615,ind2,India
ARC 11901::IRGC 21727-1,IRIS 313-8585,IRGC 127033,indx,India
ARC 12884::IRGC 22417-1,IRIS 313-8603,IRGC 126042,indx,India
RAJHUSAI (ACR 12)::IRGC 53630-1,IRIS 313-8614,IRGC 126264,ind2,India
ARC 11663::IRGC 42695-1,IRIS 313-8621,IRGC 126174,ind1B,India
DUDRE::IRGC 52523-1,IRIS 313-8631,IRGC 125608,ind2,India
PERUNEL::IRGC 63113-1,IRIS 313-8647,IRGC 125621,ind2,India
ROPA::IRGC 74774-1,IRIS 313-8704,,ind2,India
NIBARI::IRGC 67742-1,IRIS 313-8731,IRGC 126119,ind2,India
TYPE 50::IRGC 74782-1,IRIS 313-8754,IRGC 126011,ind2,India
NIRGUNI::IRGC 61127-1,IRIS 313-8757,IRGC 126000,ind2,India
DUDH KADAR::IRGC 67707-1,IRIS 313-8796,IRGC 125607,ind2,India
ARC 14060::IRGC 41374-1,IRIS 313-8844,IRGC 125648,ind2,India
ARC 14654::IRGC 41663-1,IRIS 313-8900,IRGC 125650,ind2,India
PATALASAFED SUNGHAWADO::IRGC 61133-1,IRIS 313-8920,IRGC 125869,ind2,India
PUTTIGE::IRGC 52588-1,IRIS 313-8921,IRGC 125879,temp,India
KUTTA::IRGC 52184-1,IRIS 313-8924,IRGC 125815,ind2,India
ARC 18061::IRGC 47650-1,IRIS 313-8935,IRGC 127034,indx,India
ARC 11524::IRGC 42672-1,IRIS 313-8946,IRGC 125641,indx,India
BAM 9::IRGC 6179-1,IRIS 313-8957,IRGC 125670,ind2,India
ARC 12576::IRGC 22163-1,IRIS 313-8967,IRGC 125645,indx,India
ARC 18112::IRGC 42274-1,IRIS 313-8982,IRGC 125655,indx,India
ARC 10754::IRGC 12603-1,IRIS 313-8986,IRGC 125637,indx,India
BANIKAT::IRGC 67720-1,IRIS 313-8988,IRGC 125672,ind2,India
ARC 14064::IRGC 41377-1,IRIS 313-8994,IRGC 125649,indx,India
CR 60-10::IRGC 15777-1,IRIS 313-9023,IRGC 125715,indx,India
SONAPATNAI::IRGC 46695-1,IRIS 313-9120,IRGC 125905,admix,India
GABAHSI RASAKI C 90::IRGC 49647-1,IRIS 313-9197,IRGC 126205,ind3,India
ARC 6044::IRGC 12190-1,IRIS 313-9201,IRGC 126146,trop,India
MAKRO::IRGC 74763-1,IRIS 313-9258,IRGC 126158,ind2,India
G 25::IRGC 45733-1,IRIS 313-9259,IRGC 126150,ind2,India
SONAMUKHI::IRGC 46693-1,IRIS 313-9287,IRGC 126161,ind2,India
ARC 10799::IRGC 12631-1,IRIS 313-9313,IRGC 125638,indx,India
ARC 13778::IRGC 41216-1,IRIS 313-9347,IRGC 125647,indx,India
BK 26::IRGC 45197-1,IRIS 313-9348,IRGC 125684,ind2,India
BARIK KUDI::IRGC 52807-1,IRIS 313-9384,IRGC 125674,ind2,India
BADUIE::IRGC 53715-1,IRIS 313-9403,IRGC 125666,ind2,India
ARC 18092::IRGC 42256-1,IRIS 313-9427,IRGC 125654,indx,India
GOKULGANJA::IRGC 45701-1,IRIS 313-9433,IRGC 126151,ind2,India
CHNNOR::IRGC 67485-1,IRIS 313-9484,IRGC 125706,indx,India
RPW 9-4 (SS 1)::IRGC 50690-1,IRIS 313-9522,IRGC 126084,indx,India
LABRA::IRGC 74757-1,IRIS 313-9547,IRGC 125817,ind2,India
MULLIKURUVA::IRGC 77529-1,IRIS 313-9557,IRGC 125845,ind2,India
ARC 11857::IRGC 40972-1,IRIS 313-9560,IRGC 125643,indx,India
RP 9-4::IRGC 39735-1,IRIS 313-9566,IRGC 126004,ind1B,India
ARC 15088::IRGC 41934-1,IRIS 313-9593,IRGC 125651,indx,India
RPA 5929 (K 45)::IRGC 33963-1,IRIS 313-9604,IRGC 125890,indx,India
NCS 194::IRGC 51932-1,IRIS 313-9605,IRGC 125852,ind1A,India
ARC 10594::IRGC 12524-1,IRIS 313-9609,IRGC 125636,indx,India
WANGA BARUGULU::IRGC 52261-1,IRIS 313-9611,IRGC 125935,ind2,India
ARC 15873::IRGC 43250-1,IRIS 313-9634,IRGC 125653,indx,India
CAUVERY::IRGC 45255-1,IRIS 313-10148,IRGC 125695,indx,India
PULUTHI KARAN (MIXED)::IRGC 77530-1,IRIS 313-8306,,indx,India
ARC 11867::IRGC 40978-1,IRIS 313-8315,,indx,India
ARC 15091::IRGC 43048-1,IRIS 313-8332,IRGC 126298,indx,India
ARC 18202::IRGC 42328-1,IRIS 313-8414,IRGC 126175,indx,India
DHANE BURWA::IRGC 10105-1,IRIS 313-8530,IRGC 126199,ind2,India
CO 19::IRGC 5905-1,IRIS 313-8657,IRGC 135525,indx,India
URAIBOOL::IRGC 52785-1,IRIS 313-8305,IRGC 126289,ind2,India
ARC 10812::IRGC 21074-1,IRIS 313-8386,IRGC 126173,indx,India
T 315::IRGC 54792-1,IRIS 313-8727,IRGC 126280,ind2,India
BHASAMANIK::IRGC 46954-1,IRIS 313-9360,,ind2,India
ARC 15845::IRGC 42151-1,IRIS 313-9619,,indx,India
CODE NO 31323::IRGC 46907-1,IRIS 313-9190,IRGC 126148,indx,India
ARC 11359::IRGC 21348-1,IRIS 313-9176,IRGC 125639,japx,India
SONA::IRGC 26971-C1,IRIS 313-7780,IRGC 122255,indx,India
NONA BOKRA::IRGC 22710-C1,IRIS 313-7736,IRGC 122181,ind2,India
ISWAR KORA::IRGC 50674-1,IRIS 313-11432,IRGC 127443,admix,India
MR 136-1::IRGC 50707-1,IRIS 313-11433,IRGC 127635,ind1A,India
ARC 18502::IRGC 51749-2,IRIS 313-11442,IRGC 132321,indx,India
ARC 18533::IRGC 51756-1,IRIS 313-11443,IRGC 127161,indx,India
NCS 102::IRGC 51854-1,IRIS 313-11445,IRGC 127653,ind2,India
NAPDAI::IRGC 52009-1,IRIS 313-11446,IRGC 127647,ind2,India
TUNAGANNAPNANG::IRGC 52046-1,IRIS 313-11447,IRGC 128492,indx,India
BARAMANJ::IRGC 52067-1,IRIS 313-11448,IRGC 127209,ind2,India
KODIA PHUL::IRGC 52168-1,IRIS 313-11449,IRGC 127526,indx,India
KALISAL::IRGC 52324-1,IRIS 313-11451,IRGC 128330,aro,India
LOCAL BHAT::IRGC 52343-1,IRIS 313-11452,IRGC 127571,aus,India
ZINYA KOLAMBA::IRGC 52402-1,IRIS 313-11453,IRGC 127916,ind2,India
BARI SUTAR::IRGC 52410-1,IRIS 313-11454,IRGC 127211,aus,India
CIPPI::IRGC 52415-1,IRIS 313-11455,IRGC 128268,aus,India
KOLAMBA::IRGC 52456-1,IRIS 313-11456,IRGC 127528,aus,India
KARAHANI::IRGC 52664-1,IRIS 313-11458,IRGC 128333,aus,India
SELHI::IRGC 52760-1,IRIS 313-11460,IRGC 127792,ind2,India
VAIKATHARYAN::IRGC 52805-1,IRIS 313-11461,IRGC 127881,ind2,India
SALSI::IRGC 52833-1,IRIS 313-11462,IRGC 127780,aus,India
KALIPINCH::IRGC 53271-1,IRIS 313-11476,IRGC 128329,aus,India
KANPURI::IRGC 53278-1,IRIS 313-11477,IRGC 127489,aus,India
LOCAL::IRGC 53300-1,IRIS 313-11478,IRGC 127572,ind2,India
VANKALI::IRGC 53339-1,IRIS 313-11479,IRGC 127882,trop,India
PR 106::IRGC 53418-1,IRIS 313-11480,IRGC 127742,ind1B,India
KALU T 139::IRGC 53670-1,IRIS 313-11489,IRGC 127482,aus,India
ARC 15480::IRGC 53799-1,IRIS 313-11490,IRGC 127160,indx,India
BIR BAHADUR::IRGC 53889-1,IRIS 313-11491,IRGC 127230,ind2,India
SIRHANTI::IRGC 53930-1,IRIS 313-11492,IRGC 127813,aus,India
AR 133::IRGC 53942-1,IRIS 313-11493,IRGC 127126,indx,India
IC 25690::IRGC 53973-1,IRIS 313-11494,IRGC 128317,subtrop,India
K 1074::IRGC 55017-1,IRIS 313-11505,IRGC 127469,ind2,India
K 15591-4::IRGC 55043-1,IRIS 313-11506,IRGC 127470,indx,India
AMAKOYALI::IRGC 60878-1,IRIS 313-11595,IRGC 128213,aus,India
BHAINSA MUNDARIYA::IRGC 60893-1,IRIS 313-11596,IRGC 127221,indx,India
BHATA PYAGI::IRGC 60895-1,IRIS 313-11597,IRGC 127222,ind2,India
GODADANI::IRGC 60944-1,IRIS 313-11598,IRGC 127387,admix,India
JUGRAY::IRGC 60960-1,IRIS 313-11599,IRGC 127468,ind2,India
KOTODESHI::IRGC 60982-1,IRIS 313-11600,IRGC 128353,ind2,India
MALCHI::IRGC 61004-1,IRIS 313-11602,IRGC 127597,aus,India
PANDRI PAREWA::IRGC 61030-1,IRIS 313-11603,IRGC 128425,aus,India
SUGARKAND::IRGC 61059-1,IRIS 313-11604,IRGC 127829,aus,India
BOKDEL::IRGC 61085-1,IRIS 313-11606,IRGC 127233,ind2,India
UPRH 31::IRGC 61503-1,IRIS 313-11616,IRGC 127878,admix,India
UPRH 33::IRGC 61505-1,IRIS 313-11617,IRGC 128495,aus,India
UPRH 58::IRGC 61525-1,IRIS 313-11618,IRGC 127879,aus,India
UPRH 166::IRGC 61615-1,IRIS 313-11619,IRGC 127875,aus,India
UPRH 197::IRGC 61641-1,IRIS 313-11620,IRGC 127876,aus,India
UPRH 265::IRGC 61689-1,IRIS 313-11621,IRGC 127877,indx,India
HOLDIGANTHI::IRGC 61105-1,IRIS 313-11607,IRGC 127411,ind2,India
NCS 271 A::IRGC 62216-1,IRIS 313-11636,IRGC 127654,aus,India
NCS 331::IRGC 62247-1,IRIS 313-11638,IRGC 127656,ind2,India
NCS 349::IRGC 62257-1,IRIS 313-11639,IRGC 127657,indx,India
NCS 458::IRGC 62290-1,IRIS 313-11640,IRGC 127658,ind2,India
NCS 477::IRGC 62299-1,IRIS 313-11641,IRGC 127659,ind2,India
NCS 599::IRGC 62373-1,IRIS 313-11642,IRGC 127661,ind2,India
NCS 603 B::IRGC 62377-1,IRIS 313-11643,IRGC 127662,ind1B,India
NCS 745::IRGC 62466-1,IRIS 313-11644,IRGC 127663,ind2,India
NCS 766::IRGC 62478-1,IRIS 313-11645,IRGC 127664,ind2,India
NCS 771 A::IRGC 62483-1,IRIS 313-11646,IRGC 127665,ind2,India
NCS 809 A::IRGC 62502-1,IRIS 313-11647,IRGC 127666,ind2,India
NCS 830::IRGC 62518-1,IRIS 313-11648,IRGC 127667,ind2,India
NCS 901 A::IRGC 62568-1,IRIS 313-11650,IRGC 127668,ind2,India
GORA DHAN 2::IRGC 66269-1,IRIS 313-11712,IRGC 127389,aus,India
CHUNDI::IRGC 67486-1,IRIS 313-11737,IRGC 127283,aus,India
PAUNDRI::IRGC 67527-1,IRIS 313-11738,IRGC 127720,ind2,India
KALIBAJARI::IRGC 67718-1,IRIS 313-11742,IRGC 127480,aus,India
19::IRGC 70786-1,IRIS 313-11821,IRGC 127096,ind2,India
BHONDU PAREWA::IRGC 70802-1,IRIS 313-11822,IRGC 135738,ind2,India
BHU BHUSI::IRGC 70803-1,IRIS 313-11823,IRGC 127223,ind2,India
DHANIYA PHOOL::IRGC 70811-1,IRIS 313-11824,IRGC 127317,ind2,India
HANSRAJ::IRGC 70836-1,IRIS 313-11825,IRGC 135753,aro,India
HIRA NAKHI::IRGC 70840-1,IRIS 313-11826,IRGC 128309,aro,India
KARI GURMATIA::IRGC 70850-1,IRIS 313-11827,,ind2,India
LALI GURMATIA::IRGC 70854-1,IRIS 313-11828,IRGC 127544,ind2,India
BUTNAPAR::IRGC 74734-1,IRIS 313-11917,IRGC 127241,aus,India
DILBAKSH::IRGC 74738-1,IRIS 313-11918,IRGC 128279,ind2,India
LAKHA KUAR::IRGC 74760-1,IRIS 313-11919,IRGC 127542,ind2,India
KUNJUKUNJU::IRGC 75448-1,IRIS 313-11937,IRGC 127535,indx,India
KARANGI::IRGC 77128-1,IRIS 313-11963,IRGC 127491,aus,India
SHYAMJIRA::IRGC 77522-1,IRIS 313-11969,IRGC 135795,ind2,India
RAUSRR 4::IRGC 79785-1,IRIS 313-12013,IRGC 127767,ind2,India
ADUKKAN::IRGC 81783-1,IRIS 313-12052,IRGC 127109,indx,India
ADT 22::IRGC 5901-1,IRIS 313-10519,IRGC 135733,ind2,India
HR 22::IRGC 6394-1,IRIS 313-10531,IRGC 128310,admix,India
D 204-1::IRGC 6445-1,IRIS 313-10534,IRGC 127290,aus,India
SANNABATHA::IRGC 5971-1,IRIS 313-10521,,aro,India
BELLO::IRGC 6658-2,IRIS 313-10542,IRGC 127992,ind2,India
DODGUI::IRGC 6666-1,IRIS 313-10543,IRGC 128281,aus,India
DONGREM::IRGC 6688-1,IRIS 313-10544,IRGC 127340,ind2,India
PTB 18::IRGC 6105-1,IRIS 313-10523,IRGC 135786,indx,India
CO 2::IRGC 6186-2,IRIS 313-10526,,ind2,India
ADT 12::IRGC 6254-1,IRIS 313-10527,IRGC 127107,ind2,India
T 21::IRGC 8892-1,IRIS 313-10608,IRGC 127832,aus,India
O. SATIVA::IRGC 10164-2,IRIS 313-10628,IRGC 132361,ind2,India
SR 26 B::IRGC 10803-2,IRIS 313-10640,IRGC 128169,ind2,India
ARC 6052::IRGC 12196-1,IRIS 313-10664,IRGC 127163,ind2,India
ARC 6218::IRGC 12255-1,IRIS 313-10666,IRGC 127164,indx,India
